path,status,owner,note,original_size,mobile_size,original_sha256,mobile_sha256
_mono_referenced_assemblies/System.Xml.ReaderWriter.dll,ADD,unclassified,needs manual triage,,22280,,3acf05389871b4d3c71077409991da45bdcdb4eca240c98fbff771d4c1c5b3e7
_mono_referenced_assemblies/System.Xml.XDocument.dll,ADD,unclassified,needs manual triage,,16176,,32dc504f4710b7beab7882e40f8bfaa65ba516eeefd074b8ce8328b608918bfa
_mono_referenced_assemblies/System.Xml.XmlSerializer.dll,ADD,unclassified,needs manual triage,,18192,,4fc92e12616b7bc520d9aab469e241b3edbd3ca808c6fff6df1015fdd5bbf61e
addons/atlas_generator/atlas_generator.gd,MOD,port-mod,modding/library helper candidate,5659,5403,c247bce74551010467ef2bb2d398395390890a6cdf52a2c0126107db97940950,0d92e49c5aaead0afb6b5f5c1439e0db8a8e82b31368c7810d84700122ad2bca
addons/dev_tools/dev_tools.gd,MOD,port-mod,modding/library helper candidate,2887,3150,0aa5a1660856576911ff8c74e3cf28aeefffa074e407334605f1e50fd0daf2ac,9345a0a5fd34e992b7d0d083217735e72c878b33cfa1cc8a747ea1a5e2db81b1
addons/fmod/FmodAndroidExportPlugin.gd,MOD,runtime,native/plugin dependency,531,1642,c91562e34d305b7ff6b19ba083f9d63e651620677c31a969ee7363e284d34bc0,0b918829470e9a488914889848bd9508775204569235c3c155ef362562c5b527
addons/fmod/FmodManager.gd,MOD,runtime,native/plugin dependency,512,4805,f95ae82a8772233b97e765335ebef8f6b949f08becb12713e6a9f2ead8e223b0,596cd065ba935837608ebcaf2e0eb55f6bbd7338a8ff6b7a7c1e4b5869ba2479
addons/fmod/FmodPlugin.gd,MOD,runtime,native/plugin dependency,3479,4475,e0885dcfe0c7cf7dd22cb8f42adc592bf71a40448351c37b1bad44a0ae4832da,bfd7c5fe6f451f89c568ea284887ca8bbb49a86e05383c9ca04bdcb14b2366f2
addons/fmod/fmod.gdextension,MOD,runtime,native/plugin dependency,3767,3311,d00e76c4661575ac13f205bdd1fa7482a87bc36b448dde4627ad76be501871b9,87cd150841084ca86e7f98ac65dd900e8f829992bdfeec5666264bf180326f48
addons/fmod/fmod.gdextension.disabled,ADD,runtime,native/plugin dependency,,2891,,3916ebeebdb4d73a9600038518dd817c5ddd7035942eccef6f827ba66dbbb654
addons/fmod/icons/bank_icon.svg,MOD,runtime,native/plugin dependency,25629,1651,ad644904452d6dad3f23eb5c6dad7bd5ee8704105b604e130b01bf142d6c50a9,6edb5ac7f7d94c70b6e2c00aea8bb1ca78bf28012a035501ee99ecd3e4c5849f
addons/fmod/icons/bank_icon.svg.import,MOD,runtime,native/plugin dependency,955,1071,aa6958448141592c00c1a5dd84439a63e60a5d3d4542a0c1dad66c7c0d230cf3,9cb73381e663af4157404c646dfbe4a7cdc4bf288879b5bd8a8d2c4e0ce543f2
addons/fmod/icons/bus_icon.svg,MOD,runtime,native/plugin dependency,25629,1649,ad644904452d6dad3f23eb5c6dad7bd5ee8704105b604e130b01bf142d6c50a9,1231a7aa73ad6aaf67236737c193109b728359872e82b67892c909ace105807d
addons/fmod/icons/bus_icon.svg.import,MOD,runtime,native/plugin dependency,953,1069,83163d2e936c1e06b9d7aadcf75dcc34814aa24f25d2c36e25ca95491cdefa1c,1d7a72812775d2ecdb0aad77d8a2cda79e1ac31a3b29c175aa3e72f76b5c1472
addons/fmod/icons/c_parameter_icon.svg,MOD,runtime,native/plugin dependency,14399,1025,0887fa519b24ef827f875f428951e1521336e59c62751f9fe3e5c5972bfb6666,9da90a559464eaab6f1699b1d1da9f4572d9e860cbb3eb620a50f6549cd5ac8c
addons/fmod/icons/c_parameter_icon.svg.import,MOD,runtime,native/plugin dependency,977,1093,57c8b14b421480f8020aba34067ba4f6449d6f900a1d885fc371de6f5019baa4,a61e329e37b949a35b564711dbd3e783e2c822c631f3d4a142c944b66f9a7982
addons/fmod/icons/d_parameter_icon.svg,MOD,runtime,native/plugin dependency,8740,773,d28ee8ed9206abfe6755936dd9448333f79fabb1c09dad7671569a08a1f37f1c,ce8ec93cf51108867a96f21c6f0f11c1e3b3e30908acc4a4338fb9d3f54269d4
